Video,Link,Status,Photo,Page total likes,Category,Post Month,Post Weekday,Post Hour,Paid,Total Interactions
0,0,0,1,139441,2,12,4,3,0.0,100
0,0,1,0,139441,2,12,3,10,0.0,164
0,0,0,1,139441,3,12,3,3,0.0,80
0,0,0,1,139441,2,12,2,10,1.0,1777
0,0,0,1,139441,2,12,2,3,0.0,393
0,0,1,0,139441,2,12,1,9,0.0,186
0,0,0,1,139441,3,12,1,3,1.0,279
0,0,0,1,139441,3,12,7,9,1.0,339
0,0,1,0,139441,2,12,7,3,0.0,192
0,0,0,1,139441,3,12,6,10,0.0,142
0,0,1,0,139441,2,12,5,10,0.0,252
0,0,0,1,139441,2,12,5,10,0.0,106
0,0,0,1,139441,2,12,5,10,0.0,104
0,0,0,1,139441,2,12,5,3,0.0,152
0,0,0,1,138414,2,12,4,5,1.0,599
0,0,1,0,138414,2,12,3,10,0.0,108
0,0,0,1,138414,3,12,3,3,0.0,54
0,0,0,1,138414,1,12,2,12,1.0,713
0,0,1,0,138414,3,12,2,3,0.0,75
0,0,0,1,138414,3,12,1,11,0.0,42
0,0,0,1,138414,2,12,1,3,0.0,81
0,0,0,1,138414,1,12,7,10,0.0,0
0,1,0,0,138414,1,12,7,10,0.0,18
0,0,0,1,138414,3,12,7,3,0.0,96
0,0,1,0,138414,2,12,6,10,0.0,121
0,0,1,0,138458,2,12,6,3,0.0,106
0,0,1,0,138458,2,12,5,11,0.0,494
0,0,0,1,138458,3,12,5,3,0.0,117
0,0,0,1,138895,2,12,5,3,0.0,622
1,0,0,0,138895,1,12,4,11,1.0,174
0,0,0,1,138895,2,12,4,2,0.0,162
0,0,0,1,138895,2,12,3,10,0.0,39
0,0,0,1,138895,3,12,3,3,0.0,204
0,0,0,1,138895,3,12,2,9,0.0,125
0,0,0,1,138895,1,12,2,3,0.0,75
0,0,0,1,138895,2,12,1,11,0.0,199
0,0,0,1,138895,3,12,1,3,0.0,113
0,0,0,1,138895,1,12,7,10,1.0,100
0,0,1,0,138895,2,12,7,9,0.0,269
0,0,0,1,138895,1,12,7,3,0.0,59
0,0,1,0,138895,2,12,6,11,0.0,262
0,1,0,0,138895,1,12,6,3,1.0,211
0,0,0,1,138353,1,12,5,10,0.0,36
0,1,0,0,138353,1,12,5,3,1.0,46
0,0,0,1,138353,1,12,4,11,0.0,58
0,1,0,0,138353,1,12,4,3,1.0,71
0,0,1,0,138353,1,12,3,11,0.0,214
0,1,0,0,138353,1,12,3,2,0.0,32
0,0,0,1,138353,1,12,2,11,0.0,92
0,1,0,0,138353,1,12,2,2,0.0,14
0,0,0,1,138353,2,11,1,9,0.0,58
0,0,0,1,138329,1,11,1,3,1.0,337
0,0,0,1,138329,1,11,7,9,0.0,242
0,0,0,1,138329,1,11,7,3,0.0,87
0,0,0,1,138329,1,11,6,10,0.0,83
1,0,0,0,138329,1,11,6,2,1.0,81
0,0,0,1,138329,1,11,5,11,0.0,220
0,0,0,1,138329,1,11,5,3,0.0,53
0,0,0,1,138329,1,11,4,10,0.0,90
0,0,0,1,138329,1,11,4,3,1.0,160
0,0,0,1,138185,1,11,3,11,1.0,123
0,0,0,1,138185,1,11,3,2,1.0,162
0,0,0,1,138185,1,11,2,10,1.0,202
0,0,0,1,138185,1,11,2,3,1.0,245
0,0,0,1,138185,1,11,1,10,0.0,69
0,0,0,1,138185,1,11,1,3,0.0,119
0,0,0,1,138185,1,11,7,11,0.0,55
0,0,0,1,138185,1,11,7,3,1.0,787
0,0,0,1,138185,1,11,6,11,0.0,70
0,0,0,1,137893,1,11,6,3,0.0,119
0,0,0,1,137893,1,11,5,10,1.0,162
1,0,0,0,137893,1,11,5,3,1.0,550
0,0,1,0,137893,3,11,4,11,0.0,273
0,0,0,1,137893,1,11,4,2,1.0,233
1,0,0,0,137893,1,11,3,11,0.0,114
0,0,0,1,137893,1,11,3,2,1.0,505
0,0,0,1,137893,1,11,3,2,0.0,0
0,0,0,1,137177,1,11,1,10,0.0,97
0,0,0,1,137177,2,11,1,3,0.0,64
0,0,0,1,137177,1,11,7,12,0.0,38
0,0,1,0,137177,2,11,7,3,0.0,101
0,0,0,1,137177,3,11,6,10,0.0,441
0,0,0,1,137177,1,11,6,3,0.0,252
0,0,0,1,137177,3,11,5,10,1.0,122
0,0,1,0,137177,3,11,5,2,0.0,117
0,0,0,1,137177,1,11,4,9,1.0,158
